tensor(0.2728369236, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1700606942, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1633170545, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1590311080, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1558010578, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1551364213, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1538613737, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1523477137, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1530547291, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1517979354, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1528917253, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1525545567, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1516479254, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1526339054, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1524124742, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1518905461, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1523820758, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1517355442, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1517526209, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1520613283, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1513689905, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1507139355, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1503202617, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1513636559, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1523075700, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1517803818, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1526446193, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1513066590, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1513135284, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1520515978, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1516062319, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1511532813, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1519896537, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1506142318, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1520130187, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1513705403, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1514709890, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1511364579, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1501242518, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1509185135, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1510278434, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1504424065, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1522018611, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1516704410, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1512847543, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1515230983, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1501396596, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1515864134, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1501532644, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1522083580, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1518433839, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1508990079, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1503429115, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1516108960, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1502472162, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1508186609, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1502429396, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1519408822, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1512957066, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1502997428, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1517965347, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1505894810, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1510756761, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1508556455, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1519000083, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1523551643, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1519961506, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1522768885, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1510292888, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1518835872, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1531659663, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1506902874, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1501218081, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1519476026, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1503987908, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1517706662, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1512745023, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1515182853, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1522278488, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1518098116, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1524142176, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1516809464, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1501218230, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1510224491, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1516401917, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1516457945, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1530196220, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1515005529, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1510103941, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1523448378, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1519040614, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1505902708, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1514090449, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1506400555, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1509489864, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1513253003, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1513597965, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1514031440, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1521533877, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1512827873, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1437693536, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1410876215, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1391741782, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1390600801, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1382815391, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1382822394, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1379227787, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1382588297, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1385694891, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1386955380, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1390698850, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1395051926, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1391375810, device='cuda:0', grad_fn=<DivBackward0>)
