tensor(0.2689901590, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1661681086, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1596242934, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1558947414, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1535701901, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1536071002, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1539237946, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1525359005, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1517374516, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1502870321, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1513374597, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1507662833, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1500512064, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1500844359, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1502209455, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1506090760, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1507117748, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1498789638, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1498494744, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1495292038, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1494768709, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1492518783, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1495646685, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1501947492, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1499726623, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1490250677, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1478546262, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1486355960, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1487137973, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1487937272, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1478207111, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1498798430, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1483779103, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1484822780, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1484539956, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1485071480, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1487153918, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1490042061, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1483368278, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1494497061, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1487829834, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1495542526, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1494800150, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1488460153, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1485305876, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1482074559, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1480781436, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1478811651, device='cuda:0', grad_fn=<DivBackward0>)
