tensor(0.3171897233, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2173050046, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2070645541, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2035387456, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1984196454, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2060862333, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2109201550, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2081866413, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2103150785, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2087497562, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2084286660, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2061913013, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2086276412, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2068418711, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2070972472, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2076662183, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2078025937, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2096572965, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2077010721, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2096029222, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2094730884, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2117397487, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2097674161, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2144924402, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2182499468, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2175101042, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2165218443, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2177463770, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2169350684, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2187687010, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2185067832, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2176173925, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2185475975, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2203316242, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2210157812, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2209619731, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2183338702, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2207150757, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2196786255, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2197955400, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2194885314, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2170711011, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2199927866, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2199797928, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2159877568, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2179634869, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2198064178, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2171625644, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2194895446, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2192343771, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2201019824, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2211942077, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2203040123, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2171780914, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2181952745, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2174772173, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2175261974, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2182812244, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2174416184, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2187257111, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2179444730, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2182599455, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2171518505, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2198580205, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2178855687, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2186021805, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2177654356, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2182083130, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2172271311, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2175387442, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2200288773, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2180308551, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2179785669, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2195811272, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2166794688, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2172023356, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2160079479, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2205335498, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2163541168, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2178119272, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2190906107, device='cuda:0', grad_fn=<DivBackward0>)
